अ	अ |
अंगीकृतवान्	अ ं ग ी क ृ त व ा न ् |
अंजाप्रान्तः	अ ं ज ा प ् र ा न ् त ः |
अंतिम्	अ ं त ि म ् |
अकबरुद्दीनः	अ क ब र ु द ् द ी न ः |
अकरणे	अ क र ण े |
अकामयत्	अ क ा म य त ् |
अकारणं	अ क ा र ण ं |
अकारणमेव	अ क ा र ण म े व |
अकुर्वन्	अ क ु र ् व न ् |
अकुर्वन्निति	अ क ु र ् व न ् न ि त ि |
अक्षशौण्डं	अ क ् ष श ौ ण ् ड ं |
अखिल	अ ख ि ल |
अग्	अ ग ् |
अग्निं	अ ग ् न ि ं |
अग्निः	अ ग ् न ि ः |
अग्निचयन	अ ग ् न ि च य न |
अग्निमेवदेवतानां	अ ग ् न ि म े व द े व त ा न ा ं |
अग्निरिति	अ ग ् न ि र ि त ि |
अग्निरुत्पन्नः	अ ग ् न ि र ु त ् प न ् न ः |
अग्निरेव	अ ग ् न ि र े व |
अग्निर्जातः	अ ग ् न ि र ् ज ा त ः |
अग्निर्नम	अ ग ् न ि र ् न म |
अग्निहोत्र	अ ग ् न ि ह ो त ् र |
अग्निहोत्रं	अ ग ् न ि ह ो त ् र ं |
अग्निहोत्रकरणेन	अ ग ् न ि ह ो त ् र क र ण े न |
अग्निहोत्रब्राह्मणमात्रं	अ ग ् न ि ह ो त ् र ब ् र ा ह ् म ण म ा त ् र ं |
अग्निहोत्रादीनां	अ ग ् न ि ह ो त ् र ा द ी न ा ं |
अग्निहोत्राहुतिपरिणामात्मकं	अ ग ् न ि ह ो त ् र ा ह ु त ि प र ि ण ा म ा त ् म क ं |
अग्निहोत्रे	अ ग ् न ि ह ो त ् र े |
अग्नीषोमात्मकं	अ ग ् न ी ष ो म ा त ् म क ं |
अग्नीषोमात्मिका	अ ग ् न ी ष ो म ा त ् म ि क ा |
अग्नीषोमौ	अ ग ् न ी ष ो म ौ |
अग्नीषौमीय	अ ग ् न ी ष ौ म ी य |
अग्ने	अ ग ् न े |
अग्नेः	अ ग ् न े ः |
अग्नेरुत्पन्नत्वं	अ ग ् न े र ु त ् प न ् न त ् व ं |
अग्नेस्स्वरूपं	अ ग ् न े स ् स ् व र ू प ं |
अग्नौ	अ ग ् न ौ |
अग्नौस्	अ ग ् न ौ स ् |
अग्रवर्तीनि	अ ग ् र व र ् त ी न ि |
अग्रिमं	अ ग ् र ि म ं |
अग्रिमद्वित्रिसप्ताहं	अ ग ् र ि म द ् व ि त ् र ि स प ् त ा ह ं |
अग्रिमसूत्रं	अ ग ् र ि म स ू त ् र ं |
अग्रिष्टोमः	अ ग ् र ि ष ् ट ो म ः |
अग्रे	अ ग ् र े |
अग्रेसरति	अ ग ् र े स र त ि |
अग्रेसारयितुं	अ ग ् र े स ा र य ि त ु ं |
अग्रोहोत्रं	अ ग ् र ो ह ो त ् र ं |
अघटनायाः	अ घ ट न ा य ा ः |
अङ्कत्रयेण	अ ङ ् क त ् र य े ण |
अङ्केन	अ ङ ् क े न |
अङ्केनैकेन	अ ङ ् क े न ै क े न |
अङ्गिरसो	अ ङ ् ग ि र स ो |
अङ्गीकरोति	अ ङ ् ग ी क र ो त ि |
अङ्गीकारः	अ ङ ् ग ी क ा र ः |
अङ्गीकारेण	अ ङ ् ग ी क ा र े ण |
अङ्गीकृतवान्	अ ङ ् ग ी क ृ त व ा न ् |
अच्युतः	अ च ् य ु त ः |
अजयरायं	अ ज य र ा य ं |
अजीतडोभालवर्येण	अ ज ी त ड ो भ ा ल व र ् य े ण |
अटामि	अ ट ा म ि |
अटारीवाघासंयुक्तनिरीक्षणस्थले	अ ट ा र ी व ा घ ा स ं य ु क ् त न ि र ी क ् ष ण स ् थ ल े |
अत	अ त |
अतः	अ त ः |
अतःसर्वेषा	अ त ः स र ् व े ष ा |
अतिक्रम	अ त ि क ् र म |
अतिक्रमणं	अ त ि क ् र म ण ं |
अतिक्रमणेन	अ त ि क ् र म ण े न |
अतिक्रम्य	अ त ि क ् र म ् य |
अतितरां	अ त ि त र ा ं |
अतितराम्	अ त ि त र ा म ् |
अतिदूरं	अ त ि द ू र ं |
अतिरात्रः	अ त ि र ा त ् र ः |
अतिरिक्तनिदेशकरूपेण	अ त ि र ि क ् त न ि द े श क र ू प े ण |
अतिरिक्तप्रभारिदायित्वं	अ त ि र ि क ् त प ् र भ ा र ि द ा य ि त ् व ं |
अतिरिक्तावधिम्	अ त ि र ि क ् त ा व ध ि म ् |
अतिरिक्तैः	अ त ि र ि क ् त ै ः |
अतिविपुलस्य	अ त ि व ि प ु ल स ् य |
अतिविशिष्टजनोपयोगिउदग्रयानप्रवञ्चनाप्रकरणस्य	अ त ि व ि श ि ष ् ट ज न ो प य ो ग ि उ द ग ् र य ा न प ् र व ञ ् च न ा प ् र क र ण स ् य |
अतिवृष्टि	अ त ि व ृ ष ् ट ि |
अतीव	अ त ी व |
अत्यग्रिष्टोमः	अ त ् य ग ् र ि ष ् ट ो म ः |
अत्यजत्	अ त ् य ज त ् |
अत्यवधानमत्र	अ त ् य व ध ा न म त ् र |
अत्र	अ त ् र |
अत्रान्तरे	अ त ् र ा न ् त र े |
अत्रापि	अ त ् र ा प ि |
अत्राभिहितम्	अ त ् र ा भ ि ह ि त म ् |
अत्रावसरे	अ त ् र ा व स र े |
अथ	अ थ |
अथः	अ थ ः |
अथवा	अ थ व ा |
अथा	अ थ ा |
अथातः	अ थ ा त ः |
अदर्श	अ द र ् श |
अदृ	अ द ृ |
अदोषा	अ द ो ष ा |
अद्य	अ द ् य |
अद्यापराह्णे	अ द ् य ा प र ा ह ् ण े |
अधावत्	अ ध ा व त ् |
अधासनशायी	अ ध ा स न श ा य ी |
अधिक	अ ध ि क |
अधिकतर्	अ ध ि क त र ् |
अधिकतास्ति	अ ध ि क त ा स ् त ि |
अधिकरोति	अ ध ि क र ो त ि |
अधिकाधिकं	अ ध ि क ा ध ि क ं |
अधिकारः	अ ध ि क ा र ः |
अधिकारक्षेत्रे	अ ध ि क ा र क ् ष े त ् र े |
अधिकारान्तर्गतं	अ ध ि क ा र ा न ् त र ् ग त ं |
अधिकारिणां	अ ध ि क ा र ि ण ा ं |
अधिकारिणो	अ ध ि क ा र ि ण ो |
अधिकारिभिः	अ ध ि क ा र ि भ ि ः |
अधिकारोवर्तते	अ ध ि क ा र ो व र ् त त े |
अधिकृत	अ ध ि क ृ त |
अधिकृतमन्त्रि	अ ध ि क ृ त म न ् त ् र ि |
अधिकृतवक्तव्ये	अ ध ि क ृ त व क ् त व ् य े |
अधिकृतैःस्रोतोभिः	अ ध ि क ृ त ै ः स ् र ो त ो भ ि ः |
अधिकृत्य	अ ध ि क ृ त ् य |
अधिकैक	अ ध ि क ै क |
अधिगतम्	अ ध ि ग त म ् |
अधिगतवन्तः	अ ध ि ग त व न ् त ः |
अधिगतवान्	अ ध ि ग त व ा न ् |
अधिगता	अ ध ि ग त ा |
अधिगत्यानि	अ ध ि ग त ् य ा न ि |
अधिगन्तुं	अ ध ि ग न ् त ु ं |
अधिगमन्	अ ध ि ग म न ् |
अधिगम्य	अ ध ि ग म ् य |
अधिगृहीतम्	अ ध ि ग ृ ह ी त म ् |
अधिवक्तृणां	अ ध ि व क ् त ृ ण ा ं |
अधिवेशनम्	अ ध ि व े श न म ् |
अधीतवेदास्सन्ति	अ ध ी त व े द ा स ् स न ् त ि |
अधीष्व	अ ध ी ष ् व |
अधुना	अ ध ु न ा |
अधुनापि	अ ध ु न ा प ि |
अधुनावधि	अ ध ु न ा व ध ि |
अध्यक्षः	अ ध ् य क ् ष ः |
अध्यक्षपदार्थं	अ ध ् य क ् ष प द ा र ् थ ं |
अध्यक्षपदार्थम्	अ ध ् य क ् ष प द ा र ् थ म ् |
अध्यक्षयति	अ ध ् य क ् ष य त ि |
अध्यगच्छत्	अ ध ् य ग च ् छ त ् |
अध्ययं	अ ध ् य य ं |
अध्ययनं	अ ध ् य य न ं |
अध्ययनपरंपरा	अ ध ् य य न प र ं प र ा |
अध्ययनस्य	अ ध ् य य न स ् य |
अध्ययनाधीनं	अ ध ् य य न ा ध ी न ं |
अध्यर्थना	अ ध ् य र ् थ न ा |
अध्यर्थनां	अ ध ् य र ् थ न ा ं |
अध्यर्थनापत्रस्य	अ ध ् य र ् थ न ा प त ् र स ् य |
अध्यर्थयिष्यति	अ ध ् य र ् थ य ि ष ् य त ि |
अध्यर्थितम्	अ ध ् य र ् थ ि त म ् |
अध्यर्थित्वत्	अ ध ् य र ् थ ि त ् व त ् |
अध्यात्मयोगाः	अ ध ् य ा त ् म य ो ग ा ः |
अध्यात्मयोगान्	अ ध ् य ा त ् म य ो ग ा न ् |
अध्यार्थयत्	अ ध ् य ा र ् थ य त ् |
अध्याहं	अ ध ् य ा ह ं |
अध्येतारश्च	अ ध ् य े त ा र श ् च |
अध्येतृणाञ्च	अ ध ् य े त ृ ण ा ञ ् च |
अनन्तरं	अ न न ् त र ं |
अनन्तरम्	अ न न ् त र म ् |
अनयोः	अ न य ो ः |
अनाग्निहोत्रितायाः	अ न ा ग ् न ि ह ो त ् र ि त ा य ा ः |
अनारंभश्चेत्	अ न ा र ं भ श ् च े त ् |
अनारतं	अ न ा र त ं |
अनाश्रमी	अ न ा श ् र म ी |
अनियमः	अ न ि य म ः |
अनियमयः	अ न ि य म य ः |
अनिर्णीता	अ न ि र ् ण ी त ा |
अनिवार्या	अ न ि व ा र ् य ा |
अनुकूलयितुं	अ न ु क ू ल य ि त ु ं |
अनुकूला	अ न ु क ू ल ा |
अनुक्रमं	अ न ु क ् र म ं |
अनुजिघृक्या	अ न ु ज ि घ ृ क ् य ा |
अनुज्ञातवान्	अ न ु ज ् ञ ा त व ा न ् |
अनुज्ञाप्रदाने	अ न ु ज ् ञ ा प ् र द ा न े |
अनुतिष्ठता	अ न ु त ि ष ् ठ त ा |
अनुतिष्ठेत्	अ न ु त ि ष ् ठ े त ् |
अनुपालनार्थं	अ न ु प ा ल न ा र ् थ ं |
अनुपालयितुं	अ न ु प ा ल य ि त ु ं |
अनुभवन्ति	अ न ु भ व न ् त ि |
अनुभूयते	अ न ु भ ू य त े |
अनुमतिं	अ न ु म त ि ं |
अनुमतेः	अ न ु म त े ः |
अनुमानमपि	अ न ु म ा न म प ि |
अनुमानितः	अ न ु म ा न ि त ः |
अनुमाने	अ न ु म ा न े |
अनुवर्तते	अ न ु व र ् त त े |
अनुवर्तमानां	अ न ु व र ् त म ा न ा ं |
अनुवर्तमाने	अ न ु व र ् त म ा न े |
अनुवर्तितुम्	अ न ु व र ् त ि त ु म ् |
अनुषंगेण	अ न ु ष ं ग े ण |
